pl_name,pl_orbper,pl_tranmid,pl_trandur,pl_rade,pl_radj,pl_radjerr1,pl_radjerr2,pl_ratror,st_rad,st_raderr1,st_raderr2,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,disposition
468,40.718,2457148.2125,4.464,1.9,0.16950665,0.06244982,-0.0178428,0.0273,0.58,0.06,-0.03,72.7998,0.2864,-0.2841,13.7077,0.05342,-0.05342,CONFIRMED
469,2.174829,2457394.041,1.8552,1.63,0.145,0.0098,-0.021,0.0235,0.638,0.022,-0.033,115.461,0.71,-0.701,8.63246,0.0525101,-0.0525101,CONFIRMED
470,7.8142,2456983.451,5.48,2.67,0.23820145,0.02854849,-0.02854849,0.0156,1.56,0.15,-0.15,561.93,15.381,-14.596,1.75175,0.0470854,-0.0470854,CONFIRMED
471,2.421937,2457148.2125,0.7005,1.097,0.09786795,0.001249,-0.00107057,0.0844,0.1192,0.0013,-0.0013,211.43,2.093,-2.063,4.77093,0.0476123,-0.0476123,CONFIRMED
472,4.024881,2457395.414,2.4792,10.3,0.92,0.12,-0.12,0.1294,0.73,0.040150000000000005,-0.04,232.801,1.835,-1.807,4.26686,0.0333461,-0.0333461,CONFIRMED
473,5.6228,2456979.494,8.208,3.71,0.331,0.029,-0.081,0.0143,2.378,0.018,-0.038,606.128,18.747,-17.673,1.62229,0.0491548,-0.0491548,CONFIRMED
474,31.71802083,2458494.909,2.3326321,2.29980485,0.2051752,0.32771385,-0.32771385,0.0301,1.30883,0.070123,-0.070123,106.289,0.676,-0.668,9.37994,0.0590378,-0.0590378,CONFIRMED
475,5.817681,2457398.704,2.8896,12.5,1.12,0.15,-0.14,0.0865,1.33,0.040150000000000005,-0.04,635.722,13.43,-13.43,1.54414,0.0329812,-0.0329812,CONFIRMED
476,7.6196574,2456811.684,2.19,2.39,0.21322152,0.02230354,-0.02408779,0.02796,0.71,0.040150000000000005,-0.04,334.967,4.1785,-4.1785,2.95691,0.0369571,-0.0369571,CONFIRMED
477,2.1747824,2459494.881,1.654,1.79105,0.15978705,0.01267528,-0.01267528,0.0301,0.71,0.05,-0.05,115.461,0.71,-0.701,8.63246,0.0525101,-0.0525101,CONFIRMED
478,12.352446,2457148.2125,1.137,1.129,0.10072281,0.00133821,-0.00115978,0.08692,0.1192,0.0013,-0.0013,211.43,2.093,-2.063,4.77093,0.0476123,-0.0476123,CONFIRMED
479,11.633478,2457976.642,5.138,9.50521563,0.848,0.035,-0.032,0.05295,1.641,0.058,-0.055,213.283,1.975,-1.941,4.66018,0.0427204,-0.0427204,CONFIRMED
480,1.3179,2456894.137,1.608,55.0,4.9,2.8,-2.8,0.48,1.07,0.19,-0.19,552.872,54.254,-45.46,1.8024,0.154773,-0.154773,FALSE POSITIVE
481,1.7292684,2456809.526,1.689,6.71,0.5986261,0.0,0.0,0.1376,0.445,0.066,-0.066,495.317,10.777,-10.335,1.99067,0.042692,-0.042692,CONFIRMED
482,1.208957,2457738.827,1.63,1.75,0.15612454,0.00981354,-0.01070568,0.0246,0.651,0.065,-0.065,29.661,0.0543,-0.0541,33.6855,0.0611343,-0.0611343,CONFIRMED
483,5.113835036,2459503.124,2.4556787,5.67086336,0.50592141,0.10402787,-0.10402787,0.0301,1.50876,0.078616,-0.078616,371.823,6.528,-6.31,2.66126,0.0460689,-0.0460689,CONFIRMED
484,13.9782,2456984.445,3.444,2.69,0.24,0.021,-0.023,0.0315,0.783,0.06,-0.032,232.964,3.509,-3.408,4.26498,0.0632312,-0.0632312,CONFIRMED
485,5.73594,2456808.86,2.654,1.91,0.17039879,0.03925417,-0.03925417,0.03031,0.57,0.12,-0.12,202.943,1.665,-1.639,4.89899,0.0398059,-0.0398059,CONFIRMED
486,23.7782,2456802.746,5.0712,98.0,8.7,6.2,-6.2,0.44,2.09,0.42,-0.42,401.292,11.075,-10.506,2.46581,0.0664324,-0.0664324,FALSE POSITIVE
487,20.5107,2456817.477,3.384,2.23,0.199,0.021,-0.048,0.0309,0.662,0.035,-0.051,313.764,2.856,-2.856,3.15843,0.0287915,-0.0287915,CONFIRMED
488,11.63344,2457906.841,5.112,9.52765,0.85,0.026,-0.022,0.05293,1.65,0.04,-0.04,213.283,1.975,-1.941,4.66018,0.0427204,-0.0427204,CONFIRMED
489,7.67689,2457144.626,2.232,2.44,0.218,0.038,-0.03,0.0441,0.507,0.085,-0.025,166.169,1.047,-1.047,5.98933,0.0376275,-0.0376275,CONFIRMED
490,10.616384,2457144.727,2.6,1.15,0.1025963,0.00624499,-0.00624499,0.0111,0.94,0.03,-0.03,268.357,3.298,-3.22,3.69811,0.044908,-0.044908,CONFIRMED
491,5.776475,2458096.743,2.1,1.736,0.15487581,0.01115177,-0.01061649,0.0138,1.149,0.067,-0.062,161.61,1.332,-1.31,6.15937,0.0502091,-0.0502091,CONFIRMED
492,25.575,2457780.812,3.04,1.565,0.13962019,0.00686949,-0.00678028,0.02119,0.677,0.027,-0.027,59.2474,0.1877,-0.1865,16.8497,0.0528994,-0.0528994,CONFIRMED
493,4.622654,2457741.516,2.7,1.371,0.12231264,0.02533683,-0.01677227,0.0222,0.566,0.112,-0.076,507.94,16.546,-15.55,1.94134,0.0616895,-0.0616895,CONFIRMED
494,2.9956372,2457141.351,2.4768,13.7,1.22,0.098,-0.098,0.0901,1.4,0.11,-0.11,348.646,6.323,-6.106,2.84026,0.050725,-0.050725,CONFIRMED
495,10.134279,2457150.878,3.3696,14.8,1.32,1.91,-1.12,0.3161,0.43,0.040150000000000005,-0.04,179.854,4.044,-3.873,5.53519,0.121384,-0.121384,CONFIRMED
496,30.9403,2456827.501,5.28,2.44,0.218,0.011,-0.025,0.0259,0.8649,0.0064,-0.0087,316.819,6.458,-6.21,3.12897,0.0626032,-0.0626032,CONFIRMED
497,7.05254,2456986.976,1.899,2.68,0.23909359,0.03300919,-0.03300919,0.028,0.86,0.1,-0.1,181.746,1.435,-1.413,5.47374,0.042784,-0.042784,CONFIRMED
498,9.32389,2456989.425,2.372,1.25,0.11151753,0.00981354,-0.00981354,0.0246,0.46,0.033,-0.033,83.6448,0.2665,-0.2649,11.9265,0.0376904,-0.0376904,CONFIRMED
499,4.0248735,2460228.933,2.384,11.6786,1.0418967,0.01946903,-0.01946903,0.0301,0.75,0.01,-0.01,232.801,1.835,-1.807,4.26686,0.0333461,-0.0333461,CONFIRMED
500,44.1699,2459481.797,7.44,9.94,0.89,0.04,-0.04,0.0664,1.33,0.04,-0.03,108.199,0.704,-0.696,9.21392,0.0593414,-0.0593414,CONFIRMED
501,3.355854,2458095.747,1.524,1.6,0.14,0.02230354,-0.02408779,0.0301,0.551,0.005,-0.005,75.1691,0.30675,-0.30675,13.2747,0.0538818,-0.0538818,CONFIRMED
502,22.882,2456998.069,3.12,1.84,0.164,0.011,-0.019,0.0201,0.837,0.033,-0.019,181.746,1.435,-1.413,5.47374,0.042784,-0.042784,CONFIRMED
503,15.386796,2457399.066,4.3896,2.1,0.19,0.03,-0.02,0.0202,0.96,0.040150000000000005,-0.04,101.321,0.632,-0.625,9.84127,0.0607778,-0.0607778,CONFIRMED
504,8.2758,2456901.893,2.6088,10.2,0.91,0.84,-0.84,0.054,1.6,1.3,-1.3,211.43,2.093,-2.063,4.77093,0.0476123,-0.0476123,FALSE POSITIVE
505,2.4841939,2456980.136,1.98,11.8,1.05272549,0.02230354,-0.02408779,0.1042,1.13,0.040150000000000005,-0.04,294.001,4.412,-4.286,3.37341,0.049924,-0.049924,CONFIRMED
506,7.14998,2457146.321,3.288,3.51,0.313,0.037,-0.053,0.035,0.919,0.035,-0.074,330.916,5.727,-5.539,2.9939,0.051039,-0.051039,CONFIRMED
507,1.62116,2458039.132,3.28,1.31,0.11687057,0.00535285,-0.00446071,0.0076,1.59,0.03,-0.03,155.317,1.739,-1.702,6.41091,0.0707752,-0.0707752,CONFIRMED
508,24.13861,2457067.049,6.42,10.22,0.911,0.049,-0.053,0.0713,1.314,0.052,-0.064,108.199,0.704,-0.696,9.21392,0.0593414,-0.0593414,CONFIRMED
509,12.86772,2456777.239,3.08088,71.0,6.3,4.4,-4.4,0.38,1.79,0.47,-0.47,760.324,19.51,-18.573,1.2871,0.0326728,-0.0326728,FALSE POSITIVE
510,44.5574,2456826.229,4.512,1.11,0.099,0.019,-0.021,0.0273,0.371,0.057,-0.043,44.0727,0.10815,-0.10815,22.661,0.0552838,-0.0552838,CONFIRMED
511,9.99767,2457066.27,2.77,1.483,0.1323044,0.00883219,-0.00883219,0.0319,0.424,0.016,-0.016,125.529,0.516,-0.512,7.9375,0.0323816,-0.0323816,CONFIRMED
512,12.20773,2456896.385,3.6264,2.34,0.209,0.024,-0.031,0.0301,0.713,0.076,-0.079,138.018,1.14,-1.121,7.21733,0.0588802,-0.0588802,CONFIRMED
513,18.717631,2457151.877,6.48,3.2,0.29,0.04,-0.02,0.0378,0.77,0.040150000000000005,-0.04,488.152,7.654,-7.425,2.01993,0.0313977,-0.0313977,CONFIRMED
514,19.482,2457938.541,3.6648,2.73,0.24355429,0.01248996,-0.00981354,0.03564,0.703,0.024,-0.022,77.5586,0.3581,-0.3549,12.865,0.0588243,-0.0588243,CONFIRMED
515,14.4584,2457147.334,6.792,2.84,0.253,0.015,-0.033,0.01676,1.551,0.022,-0.022,696.1,22.17,-20.865,1.40791,0.0440671,-0.0440671,CONFIRMED
516,21.99036194,2459456.139,3.8732381,4.60346552,0.41069439,0.34272578,-0.34272578,0.0301,1.33417,0.079759,-0.079759,256.011,2.349,-2.307,3.8775,0.0352454,-0.0352454,CONFIRMED
517,10.93241,2456814.601,3.498,2.26,0.2016237,0.0553127,-0.0553127,0.03601,0.57,0.12,-0.12,202.943,1.665,-1.639,4.89899,0.0398059,-0.0398059,CONFIRMED
518,11.722103,2458098.368,3.7104,2.8,0.25,0.02230354,-0.02408779,0.0301,0.838,0.008,-0.008,308.105,2.98,-2.923,3.217,0.030855,-0.030855,CONFIRMED
519,0.3810654,2456810.356,0.5856,5.4,0.48,0.065,-0.041,0.0774,0.64,0.079,-0.024,243.836,2.7975,-2.7975,4.07286,0.0466921,-0.0466921,CONFIRMED
520,9.30075,2457589.078,2.7,2.35,0.20965296,0.02319565,-0.01873495,0.0437,0.49,0.01,-0.01,147.03,1.042,-1.028,6.77291,0.0474972,-0.0474972,CONFIRMED
521,6.53142,2456979.659,3.264,2.79,0.249,0.012,-0.026,0.0295,0.867,0.013,-0.023,499.891,12.979,-12.348,1.97291,0.0502622,-0.0502622,CONFIRMED
522,5.60906,2456812.115,1.9,1.69,0.1507717,0.02587207,-0.02587207,0.0255,0.601,0.086,-0.086,252.596,2.4395,-2.4395,3.9304,0.0379436,-0.0379436,CONFIRMED
523,17.04354,2457221.611,2.9592,4.28,0.382,0.021,-0.032,0.049,0.801,0.035,-0.037,110.567,0.874,-0.86,9.01629,0.0703871,-0.0703871,CONFIRMED
524,19.3037,2456819.584,3.777,4.37,0.38986529,0.03657775,-0.03657775,0.0367,1.08,0.09,-0.09,272.36,3.112,-3.044,3.64323,0.0411738,-0.0411738,CONFIRMED
525,1.291605,2457140.191,1.152,1.74,0.155,0.029,-0.024,0.0399,0.4,0.07,-0.023,101.632,0.374,-0.372,9.81066,0.0358559,-0.0358559,CONFIRMED
526,8.68055,2457396.459,3.84,2.79,0.249,0.03,-0.026,0.0232,1.102,0.125,-0.012,394.083,10.017,-9.541,2.50996,0.0624634,-0.0624634,CONFIRMED
527,7.3744897,2457222.93,2.452,2.85,0.25426041,0.00892142,-0.00802928,0.03846,0.682,0.014,-0.014,107.518,0.602,-0.596,9.27232,0.0514418,-0.0514418,CONFIRMED
528,20.35847252,2459553.714,3.574,10.55,0.941,0.034,-0.034,0.1805,0.541,0.017,-0.017,268.685,3.6615,-3.6615,3.69372,0.0503318,-0.0503318,CONFIRMED
529,19.07454,2456828.562,3.48,2.58,0.23017218,0.02230354,-0.02408779,0.03269,0.71,0.040150000000000005,-0.04,334.967,4.1785,-4.1785,2.95691,0.0369571,-0.0369571,CONFIRMED
530,12.4551225,2457773.157,3.621,8.675766,0.774,0.026,-0.024,0.09679,0.822,0.026,-0.024,233.237,2.293,-2.249,4.25907,0.0414338,-0.0414338,CONFIRMED
531,8.754707978,2459451.225,3.4644403,3.54381082,0.31615817,0.1525243,-0.1525243,0.0301,0.889347,0.041688,-0.041688,214.753,1.838,-1.808,4.62801,0.0392227,-0.0392227,CONFIRMED
532,3.85064,2457141.528,1.6008,1.073,0.09573,0.0073,-0.0175,0.0193,0.51,0.02,-0.054,156.951,0.602,-0.597,6.34256,0.0241389,-0.0241389,CONFIRMED
533,13.115365,2457917.837,2.7,2.53,0.22571187,0.00749399,-0.00740478,0.042,0.552,0.016,-0.016,121.63,0.5795,-0.5795,8.193,0.0388775,-0.0388775,CONFIRMED
534,2.787174,2457141.325,1.46,1.65,0.14720339,0.01427427,-0.00713713,0.0329,0.46,0.01,-0.01,166.169,1.047,-1.047,5.98933,0.0376275,-0.0376275,CONFIRMED
535,8.865288609,2459235.707,3.2904518,4.28539694,0.38231817,0.58159297,-0.58159297,0.0301,0.697439,0.038955,-0.038955,203.896,1.742,-1.712,4.87598,0.0412297,-0.0412297,CONFIRMED
536,6.771375,2456812.845,2.856,5.05,0.451,0.037,-0.028,0.0496,0.932,0.072,-0.034,249.645,2.489,-2.441,3.97723,0.0392518,-0.0392518,CONFIRMED
537,6.893813,2457778.026,2.52,2.83587212,0.253,0.019,-0.014,0.02485,1.04,0.043,-0.039,360.911,5.351,-5.201,2.74245,0.0401933,-0.0401933,CONFIRMED
538,4.688418,2458096.717,2.75,3.26,0.29083822,0.01962712,-0.00981356,0.035,0.85,0.02,-0.02,201.856,1.5,-1.479,4.92543,0.036288,-0.036288,CONFIRMED
539,42.36301,2456915.625,6.498,9.8,0.87429744,0.10705683,-0.10705683,0.05913,1.51,0.18,-0.18,170.562,1.36,-1.338,5.83465,0.0460219,-0.0460219,CONFIRMED
540,6.326796,2457221.23,1.8288,2.2,0.2,0.04,-0.02,0.0201,1.01,0.040150000000000005,-0.04,113.123,0.701,-0.691,8.81151,0.0539824,-0.0539824,CONFIRMED
541,8.199796,2457070.806,2.4,2.3,0.20519226,0.01427424,-0.01427424,0.0278,0.76,0.03,-0.03,141.731,0.874,-0.863,7.02703,0.0428976,-0.0428976,CONFIRMED
542,5.0957983,2460250.886,1.772,1.92318,0.17157492,0.01577485,-0.01577485,0.0301,0.7,0.06,-0.06,98.0152,0.4794,-0.4748,10.1739,0.0492898,-0.0492898,CONFIRMED
543,28.6911,2456824.607,7.872,4.3,0.38,0.023,-0.055,0.0247,1.597,0.016,-0.015,738.553,15.745,-15.113,1.32514,0.0280727,-0.0280727,CONFIRMED
544,6.20141,2457740.961,1.6,2.1,0.18734945,0.0133821,-0.0133821,0.0295,0.651,0.065,-0.065,29.661,0.0543,-0.0541,33.6855,0.0611343,-0.0611343,CONFIRMED
545,18.772866,2457148.2125,1.269,0.755,0.0673567,0.001249,-0.001249,0.05809,0.1192,0.0013,-0.0013,211.43,2.093,-2.063,4.77093,0.0476123,-0.0476123,CONFIRMED
546,20.27285,2457157.157,3.8592,11.55,1.03,0.085,-0.047,0.1274,0.831,0.065,-0.035,413.591,4.312,-4.225,2.38911,0.0247653,-0.0247653,CONFIRMED
547,7.6188,2456811.687,2.487,2.02,0.18021233,0.02141137,-0.02141137,0.02796,0.66,0.03,-0.03,334.967,4.1785,-4.1785,2.95691,0.0369571,-0.0369571,CONFIRMED
548,19.895268,2457327.476,8.1888,8.5,0.76,0.11,-0.09,0.0537,1.45,0.040150000000000005,-0.04,391.537,7.494,-7.223,2.52663,0.0476123,-0.0476123,CONFIRMED
549,5.35185,2457062.612,3.6,1.41,0.126,0.013,-0.035,0.01011,1.275,0.064,-0.019,200.394,2.763,-2.69,4.96259,0.0673735,-0.0673735,CONFIRMED
550,1.2089802,2457738.826,1.25976,1.62,0.14452672,0.00981354,-0.00981354,0.0242,0.613,0.033,-0.034,29.661,0.0543,-0.0541,33.6855,0.0611343,-0.0611343,CONFIRMED
551,5.34072,2456812.842,1.153,2.65,0.23641716,0.02141137,-0.02141137,0.0323,0.75,0.02,-0.02,109.749,0.615,-0.609,9.08318,0.0504275,-0.0504275,CONFIRMED
552,10.06049,2457590.483,3.8,2.64,0.23552502,0.01427424,-0.0089214,0.0255,0.95,0.02,-0.02,197.299,2.061,-2.02,5.0403,0.0520135,-0.0520135,CONFIRMED
553,1.419549,2457065.432,0.945,1.1,0.09813543,0.01605852,-0.01605852,0.0352,0.284,0.041,-0.041,62.5785,0.2828,-0.2803,15.9515,0.0713516,-0.0713516,CONFIRMED
554,39.8478,2456829.86,5.21,2.42,0.21589794,0.02587207,-0.02587207,0.0266,0.83,0.02,-0.02,329.309,2.682,-2.641,3.0079,0.0243587,-0.0243587,CONFIRMED
555,11.6334681,2458151.144,5.1288,9.26982704,0.827,0.033,-0.03,0.05274,1.663,0.071,-0.068,213.283,1.975,-1.941,4.66018,0.0427204,-0.0427204,CONFIRMED
556,7.80905,2457144.859,3.696,2.79,0.249,0.024,-0.037,0.0217,1.181,0.088,-0.019,446.821,8.707,-8.385,2.20973,0.0424739,-0.0424739,CONFIRMED
557,6.37961,2456982.017,2.78,1.41,0.12579177,0.02230354,-0.02408779,0.01388,0.83,0.040150000000000005,-0.04,235.867,4.698,-4.522,4.21322,0.0822047,-0.0822047,CONFIRMED
558,24.1669,2456987.046,2.25,0.82,0.0731555,0.01962709,-0.01962709,0.032,0.232,0.056,-0.056,66.4321,0.2003,-0.1991,15.0242,0.044918,-0.044918,CONFIRMED
559,21.0576,2457611.131,4.693,3.95,0.3523954,0.03746989,-0.03479347,0.03034,1.18,0.11,-0.11,109.353,0.691,-0.681,9.11629,0.0569382,-0.0569382,CONFIRMED
560,5.424865,2456898.693,4.08,5.04,0.44963868,0.03033277,-0.03300919,0.0432,1.05,0.07,-0.07,139.268,1.532,-1.499,7.153,0.0775416,-0.0775416,CONFIRMED
561,13.81513,2457596.19,3.6,1.74,0.1552324,0.01516638,-0.01070568,0.0193,0.82,0.01,-0.01,228.839,2.083,-2.047,4.34143,0.0391406,-0.0391406,CONFIRMED
562,4.098474093,2459449.12,2.323409,14.83669218,1.3236433,0.07475755,-0.07475755,0.0301,1.06395,0.058862,-0.058862,333.042,3.021,-2.968,2.97391,0.0267936,-0.0267936,CONFIRMED
563,17.968216,2456817.945,2.76,2.15,0.19181015,0.02230354,-0.02408779,0.02936,0.63,0.040150000000000005,-0.04,125.106,0.663,-0.657,7.96463,0.0418381,-0.0418381,CONFIRMED
564,21.05704,2457569.017,4.638,4.35,0.38808101,0.02051923,-0.02051923,0.03086,1.296,0.058,-0.058,109.353,0.691,-0.681,9.11629,0.0569382,-0.0569382,CONFIRMED
565,4.17032,2457394.995,2.88,3.19,0.285,0.021,-0.04,0.0289,1.013,0.045,-0.045,496.289,7.902,-7.663,1.98627,0.0313565,-0.0313565,CONFIRMED
566,5.83977,2458102.094,1.88,2.27,0.20251584,0.0178428,-0.01427424,0.0439,0.473,0.014,-0.014,185.605,2.122,-2.075,5.35982,0.0604593,-0.0604593,CONFIRMED
567,27.242808,2456820.26,6.5664,93.0,8.3,1.7,-4.3,0.336,2.54,0.12,-0.15,499.583,13.462,-12.786,1.97368,0.0521669,-0.0521669,FALSE POSITIVE
568,50.818947,2458111.127,3.4872,2.41,0.2150058,0.01070568,-0.01070568,0.026,0.85,0.02,-0.02,162.481,1.38,-1.357,6.12624,0.0514419,-0.0514419,CONFIRMED
569,18.448653,2456822.671,2.49,3.33,0.2970827,0.02230354,-0.02408779,0.05692,0.52,0.040150000000000005,-0.04,82.9631,0.3747,-0.3714,12.025,0.0537978,-0.0537978,CONFIRMED
570,4.01392,2457620.254,2.3664,2.71257333,0.242,0.016,-0.012,0.0311,0.797,0.029,-0.027,414.708,6.352,-6.166,2.38297,0.036115,-0.036115,CONFIRMED
571,7.06005,2457586.877,2.796,1.281,0.11428336,0.00196271,-0.0018735,0.01663,0.71,0.01,-0.01,67.5062,0.2799,-0.2775,14.7849,0.0606971,-0.0606971,CONFIRMED
572,3.281029861,2459501.145,1.9734854,2.50448263,0.22343536,0.17272348,-0.17272348,0.0301,0.735345,0.043417,-0.043417,123.438,0.714,-0.706,8.07267,0.0462617,-0.0462617,CONFIRMED
573,2.849302,2456977.724,2.0616,4.07,0.363,0.03,-0.037,0.0563,0.662,0.044,-0.042,159.522,0.73,-0.725,6.23997,0.0283716,-0.0283716,CONFIRMED
574,0.789518,2456981.345,1.87,1.64,0.146311,0.03211705,-0.03211705,0.01344,1.1,0.23,-0.23,264.78,4.888,-4.716,3.74964,0.0679499,-0.0679499,CONFIRMED
575,8.596724,2457396.597,3.7296,2.5,0.22,0.04,-0.03,0.0175,1.29,0.040150000000000005,-0.04,300.64,4.186,-4.075,3.29796,0.0453529,-0.0453529,CONFIRMED
576,5.06965,2456984.009,4.4,2.49,0.22214292,0.02408779,-0.02408779,0.01324,1.71,0.14,-0.14,513.877,24.123,-22.087,1.92148,0.0866516,-0.0866516,CONFIRMED
577,2.39991,2456810.586,1.74,1.08,0.09635115,0.0178428,-0.0178428,0.0164,0.601,0.086,-0.086,252.596,2.4395,-2.4395,3.9304,0.0379436,-0.0379436,CONFIRMED
578,7.727574,2457148.831,2.8392,2.6,0.23,0.05,-0.04,0.0335,0.71,0.040150000000000005,-0.04,365.581,4.37,-4.27,2.70677,0.0320776,-0.0320776,CONFIRMED
579,21.169619,2457123.238,3.2,2.2,0.19627085,0.0178428,-0.0089214,0.0336,0.59,0.03,-0.03,186.197,1.3645,-1.3645,5.34209,0.0390588,-0.0390588,CONFIRMED
580,0.95965428,2458269.579,1.609,1.627,0.14515147,0.00740478,-0.00517442,0.01712,0.871,0.006,-0.006,47.2899,0.1485,-0.1475,21.1175,0.065682,-0.065682,CONFIRMED
581,31.6551,2456825.689,4.632,2.48,0.221,0.019,-0.046,0.0293,0.774,0.008,-0.0104,349.881,5.2745,-5.2745,2.82984,0.0427569,-0.0427569,CONFIRMED
582,13.97876,2456984.444,3.49,2.77,0.24712285,0.02230354,-0.02408779,0.0297,0.77,0.040150000000000005,-0.04,232.964,3.509,-3.408,4.26498,0.0632312,-0.0632312,CONFIRMED
583,5.42513,2456936.667,4.22,5.76,0.51387278,0.0553127,-0.05174413,0.0476,1.1,0.1,-0.1,139.268,1.532,-1.499,7.153,0.0775416,-0.0775416,CONFIRMED
584,12.75759,2457738.702,3.19,2.81,0.25069141,0.03211705,-0.01695066,0.0299,0.86,0.08,-0.08,202.585,2.028,-1.989,4.90795,0.048567,-0.048567,CONFIRMED
585,8.24958,2457064.28,4.66,5.59,0.499,0.032,-0.029,0.0381,1.345,0.056,-0.051,108.199,0.704,-0.696,9.21392,0.0593414,-0.0593414,CONFIRMED
586,11.29665,2456986.706,1.8,2.08,0.186,0.015,-0.017,0.0298,0.64,0.042,-0.013,311.313,3.544,-3.467,3.18378,0.0358917,-0.0358917,CONFIRMED
587,4.6122,2457066.219,1.039,1.23,0.10973325,0.02230351,-0.02230351,0.0436,0.256,0.049,-0.049,110.561,0.828,-0.815,9.01663,0.0666993,-0.0666993,CONFIRMED
588,7.18662,2457140.702,2.808,2.58,0.23,0.026,-0.031,0.0405,0.584,0.055,-0.017,320.336,3.955,-3.862,3.09328,0.0377999,-0.0377999,CONFIRMED
589,29.8454,2457394.979,5.15,3.01,0.26853421,0.03746989,-0.02497993,0.0313,0.86,0.04,-0.04,47.2899,0.1485,-0.1475,21.1175,0.065682,-0.065682,CONFIRMED
590,2.174769,2457394.043,1.8288,1.7,0.15,0.03,-0.03,0.0222,0.71,0.040150000000000005,-0.04,115.461,0.71,-0.701,8.63246,0.0525101,-0.0525101,CONFIRMED
591,8.687812,2457393.881,2.7096,7.36,0.657,0.037,-0.074,0.1016,0.664,0.036,-0.071,458.139,7.724,-7.724,2.15419,0.0365179,-0.0365179,CONFIRMED
592,8.77709,2457070.019,4.224,5.1,0.45,0.17,-0.23,0.058,0.8,0.186,-0.028,258.699,3.004,-2.937,3.83717,0.0440494,-0.0440494,CONFIRMED
593,11.390955,2457140.324,3.864,10.71,0.9555,0.052,-0.031,0.115,0.854,0.044,-0.018,475.758,8.252,-7.98,2.07344,0.0355806,-0.0355806,CONFIRMED
594,2.6266657,2457820.738,4.1676,17.396368,1.552,0.048,-0.057,0.09731,1.69,0.03,-0.03,663.834,19.395,-18.342,1.47859,0.0424669,-0.0424669,CONFIRMED
595,8.52695,2457586.764,3.7,2.19,0.19537871,0.0178428,-0.01695066,0.0124,1.61,0.04,-0.04,476.882,9.692,-9.321,2.06877,0.0414771,-0.0414771,CONFIRMED
596,6.10241,2457064.34,2.3448,2.38,0.212,0.017,-0.03,0.031,0.702,0.034,-0.023,252.318,2.731,-2.673,3.93486,0.0421198,-0.0421198,CONFIRMED
597,4.733557505,2459502.376,3.2089234,5.38526663,0.48044214,0.57442811,-0.57442811,0.0301,1.75896,0.102414,-0.102414,477.295,10.094,-9.692,2.06697,0.0430861,-0.0430861,CONFIRMED
598,3.0026376,2456982.06,3.11,6.45,0.57543046,0.02230354,-0.02408779,0.0624,0.86,0.040150000000000005,-0.04,491.87,11.47,-10.969,2.00523,0.0460023,-0.0460023,CONFIRMED
599,4.1591289,2457007.932,3.5722,12.63,1.12677313,0.0133821,-0.0133821,0.10193,1.137,0.013,-0.013,264.78,4.888,-4.716,3.74964,0.0679499,-0.0679499,CONFIRMED
600,0.58426,2457583.469,1.5,1.14,0.10170399,0.00535284,-0.00267642,0.0133,0.79,0.01,-0.01,102.564,1.093,-1.07,9.72291,0.101996,-0.101996,CONFIRMED
601,16.19803,2456991.545,1.608,1.73,0.154,0.017,-0.046,0.0275,0.577,0.015,-0.032,112.467,0.491,-0.487,8.86281,0.0383558,-0.0383558,CONFIRMED
602,0.71957121,2459526.091,1.7575219,1.61084174,0.14370992,0.21707407,-0.21707407,0.0301,1.25505,0.058146,-0.058146,109.86,0.811,-0.8,9.07435,0.0662085,-0.0662085,CONFIRMED
603,2.2604439,2456980.25,0.99,1.6,0.14274244,0.02230354,-0.02408779,0.0774,0.18,0.040150000000000005,-0.04,62.9969,0.3212,-0.3181,15.8456,0.0799362,-0.0799362,CONFIRMED
604,15.8723,2457619.111,6.192,3.60929179,0.322,0.025,-0.02,0.01942,1.7,0.094,-0.087,357.778,5.896,-5.711,2.76698,0.0449857,-0.0449857,CONFIRMED
605,4.0460654,2456787.812,4.9488,14.94,1.33285753,0.02390936,-0.02390936,0.08059,1.696,0.029,-0.029,376.658,11.199,-10.58,2.62793,0.0761286,-0.0761286,CONFIRMED
606,1.84617,2456767.938,3.0,2.14,0.191,0.074,-0.074,0.0947,0.21,0.08,-0.08,1120.21,37.73,-35.39,0.864342,0.0288973,-0.0288973,FALSE POSITIVE
607,24.1396,2457067.049,6.42,10.27,0.916,0.052,-0.047,0.07,1.345,0.056,-0.051,108.199,0.704,-0.696,9.21392,0.0593414,-0.0593414,CONFIRMED
608,25.575065,2457780.812,3.12,1.45,0.12936034,0.00981354,-0.00713712,0.0201,0.66,0.02,-0.02,59.2474,0.1877,-0.1865,16.8497,0.0528994,-0.0528994,CONFIRMED
609,6.034,2457996.825,2.1528,2.0,0.17842805,0.0178428,-0.0089214,0.0362,0.54,0.01,-0.01,72.9105,0.52255,-0.52255,13.6878,0.0975584,-0.0975584,CONFIRMED
610,1.51087081,2457322.517,0.6067,1.086,0.09688643,0.00312249,-0.00312249,0.0301,0.117,0.0036,-0.0036,211.43,2.093,-2.063,4.77093,0.0476123,-0.0476123,CONFIRMED
