kepid,koi_period,koi_time0bk,koi_time0,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_incl,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_ldm_coeff2,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_bin_oedp_sig,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_fwm_stat_sig,koi_disposition
2335,1.049406508,131.80328,2454964.803,0.112,0.267,-0.112,3.0072,0.0655,-0.0655,448.0,8.7,-8.7,0.018735,0.000452,-0.000308,0.36349,0.01845,-0.08526,27.45,0.95,-5.41,0.0244,87.68,4913.0,137177.82,14963.98,-53811.77,2.766,0.14,-0.14,0.1392,0.594,4.0007486,27.35767,61.3,1,1199.0,0.5761,4745.0,42.0,-70.0,2.425,0.035,-0.031,13.417,0.466,-2.642,1.747,0.185,-0.554,0.0,FALSE POSITIVE
2336,10.91274065,169.85247,2455002.852,0.685,0.192,-0.459,2.1801,0.0445,-0.0445,1390.0,26.5,-26.5,0.036155,0.00324,-0.00201,4.17699,5.51141,-0.32659,2.13,0.12,-0.16,0.0785,88.68,443.0,9.12,1.88,-2.0,29.7,13.1,-13.1,0.3037,0.4224,7.4485817,42.68845,57.4,4,111.0,0.4122,3834.0,77.0,-84.0,4.708,0.045,-0.021,0.539,0.03,-0.041,0.541,0.037,-0.037,0.668,CONFIRMED
2337,0.364860478,132.07029,2454965.07,0.267,0.208,-0.266,1.4736,0.0928,-0.0928,113.0,6.1,-6.1,0.009721,0.000364,-0.0004,1.05226,0.05226,-0.43698,0.68,0.06,-0.06,0.0086,82.14,1993.0,3703.08,1225.05,-972.61,1.9491,0.0968,-0.0968,0.2787,0.3888,3.9922915,13.384665,23.5,1,1466.0,0.7339,5220.0,157.0,-157.0,4.622,0.072,-0.044,0.642,0.056,-0.056,0.63,0.059,-0.024,0.0,FALSE POSITIVE
2338,4.429633087,355.143546,2455188.144,1.264,4.822,-0.15,3.0257,0.0251,-0.0251,6120.0,44.8,-44.8,0.363622,4.79,-0.137,0.19465,1.60089,-0.01575,32.12,5.68,-3.05,0.0498,77.56,950.0,192.62,117.24,-55.65,5.87,2.8,-2.8,0.2043,0.4966,26.424343,189.43683,166.3,1,251.0,0.9876,5344.0,204.0,-185.0,4.545,0.051,-0.111,0.809,0.143,-0.077,0.837,0.087,-0.087,0.0,FALSE POSITIVE
2339,62.1385979,161.14834,2454994.148,0.699,0.198,-0.47,4.2938,0.0907,-0.0907,886.0,26.1,-26.1,0.029043,0.00318,-0.00238,2.85005,3.81554,-1.66333,5.14,0.83,-2.47,0.301,89.52,524.0,17.88,7.75,-13.35,83.5,37.3,-37.3,0.1507,0.5775,11.688438,29.333271,36.1,2,23.0,0.5563,5123.0,81.0,-81.0,3.992,0.535,-0.094,1.621,0.26,-0.779,0.941,0.072,-0.109,0.073,CONFIRMED
2340,16.23191704,171.67758,2455004.678,0.017,0.272,-0.017,7.461,0.0243,-0.0243,502.0,2.8,-2.8,0.020452,0.000203,-7.4e-05,0.35076,0.00062,-0.07172,3.54,0.16,-0.18,0.1259,89.94,926.0,174.1,24.04,-24.33,16.968,0.03,-0.03,0.2918,0.3434,17.554491,109.9509,194.9,2,81.0,0.1158,5919.0,62.0,-71.0,4.042,0.03,-0.03,1.585,0.071,-0.079,1.009,0.036,-0.036,0.602,CONFIRMED
2341,29.47316279,154.89251,2454987.893,1.362,0.121,-0.275,6.4327,0.0465,-0.0465,12600.0,83.2,-83.2,0.500076,0.114,-0.25,0.23384,0.01521,-0.02089,48.98,15.2,-4.75,0.1864,86.46,565.0,24.07,22.7,-7.04,22.06,1.4,-1.4,0.2676,0.3928,44.87234,165.75145,179.3,1,29.0,0.5984,5838.0,184.0,-204.0,4.529,0.037,-0.2,0.897,0.278,-0.087,0.992,0.113,-0.113,0.0,FALSE POSITIVE
2342,4.43529675,134.7488,2454967.749,0.353,0.115,-0.353,2.117,0.348,-0.348,182.0,24.7,-24.7,0.012463,0.000977,-0.000973,3.37649,1.72741,-3.31882,1.15,0.29,-0.13,0.0499,88.67,1026.0,261.33,207.37,-79.93,15.2,3.9,-3.9,0.2787,0.3728,2.836846,8.608186,9.6,1,257.0,0.7556,5659.0,186.0,-186.0,4.511,0.069,-0.161,0.842,0.215,-0.092,0.839,0.106,-0.08,0.0,FALSE POSITIVE
2343,8.64636188,135.46223,2454968.462,0.294,0.003,-0.003,8.73607,0.00583,-0.00583,218000.0,119.0,-119.0,0.438049,0.000188,-0.000178,0.30811,0.00083,-0.00091,54.24,18.5,-7.41,0.0859,88.42,1033.0,268.95,270.87,-95.17,10.6784,0.0288,-0.0288,0.311,0.2914,1582.1962,4309.3545,2441.7,1,21.0,0.0,6444.0,181.0,-226.0,4.382,0.07,-0.21,1.134,0.386,-0.155,1.128,0.178,-0.145,0.0,FALSE POSITIVE
2344,19.80787763,139.37983,2454972.38,0.054,0.389,-0.054,3.453,0.131,-0.131,616.0,35.6,-35.6,0.022635,0.0011,-0.000645,4.32351,0.53994,-1.48683,2.08,0.52,-0.18,0.1399,89.93,624.0,35.89,26.18,-9.24,44.76,5.6,-5.6,0.2711,0.3858,5.231054,19.597445,20.1,1,55.0,0.7168,5775.0,143.0,-172.0,4.558,0.032,-0.168,0.84,0.212,-0.071,0.934,0.1,-0.11,0.031,CONFIRMED
2345,199.21638,293.6619,2455126.662,0.5,0.0767,-0.409,9.23,1.8,-1.8,62.5,11.0,-11.0,0.007525,0.000796,-0.00061,1.43069,3.46724,-1.42152,2.36,0.98,-0.66,0.8893,89.95,706.0,58.73,73.33,-33.29,144.2,69.9,-69.9,0.291,0.2343,6.2135533,24.499257999999998,10.6,1,164.0,0.4679,8914.0,260.0,-399.0,3.896,0.217,-0.218,2.867,1.192,-0.799,2.357,0.447,-0.6,0.0,FALSE POSITIVE
2346,3.72277264,136.51757,2454969.518,1.2672,0.3721,-0.0945,15.869,0.331,-0.331,1110.0,16.8,-16.8,0.303216,0.279,-0.169,0.00368,0.00244,-0.00117,22.78,4.34,-1.66,0.0426,24.64,945.0,188.82,122.78,-47.06,1.392,0.461,-0.461,0.2807,0.385,6.2135533,24.499257999999998,58.1,1,164.0,0.4679,5333.0,207.0,-178.0,4.633,0.033,-0.107,0.688,0.131,-0.05,0.74,0.098,-0.068,0.0,FALSE POSITIVE
2347,35.945188,146.6937,2454979.694,0.1278,0.3491,-0.1277,8.23,1.9,-1.9,72.6,13.5,-13.5,0.007877,0.000625,-0.00103,0.54433,0.651,-0.52453,1.5,0.81,-0.4,0.236,89.95,789.0,91.51,146.6,-48.14,33.4,13.3,-13.3,0.3134,0.2882,6.2135533,24.499257999999998,4.1,1,164.0,0.4679,6578.0,154.0,-202.0,4.087,0.189,-0.306,1.744,0.942,-0.466,1.36,0.279,-0.271,0.0,FALSE POSITIVE
2348,34.5439452,132.68453,2454965.685,0.87,0.013,-0.603,3.482,0.111,-0.111,430.0,20.3,-20.3,0.021969,0.00369,-0.00311,1.06197,7.00487,-0.82338,2.67,0.42,-0.34,0.2075,88.77,607.0,32.02,13.94,-9.53,40.6,19.1,-19.1,0.2889,0.3511,6.10026,18.697369,23.4,3,38.0,0.2131,5933.0,107.0,-119.0,4.342,0.115,-0.115,1.115,0.174,-0.142,0.998,0.081,-0.066,0.664,CONFIRMED
2349,8.75209691,170.63671,2455003.637,0.017,0.317,-0.017,2.3742,0.0384,-0.0384,1370.0,32.5,-32.5,0.0337,0.000785,-0.000341,6.09386,0.34379,-1.15266,1.83,0.13,-0.19,0.0664,89.97,451.0,9.76,2.27,-2.58,29.11,1.6,-1.6,0.3037,0.4224,5.2827644,31.796968,44.8,5,121.0,0.9504,3731.0,73.0,-83.0,4.75,0.052,-0.028,0.498,0.034,-0.051,0.509,0.036,-0.045,0.027,CONFIRMED
2350,10.76839193,137.679347,2454970.679,0.001,0.012,-0.001,12.5252,0.00532,-0.00532,107000.0,59.4,-59.4,0.294295,0.000132,-4.2e-05,0.10138,0.00013,-0.00015,52.8,27.4,-27.4,0.0928,89.99,970.0,209.25,340.39,-165.7,8.5336,0.0109,-0.0109,0.1997,0.5041,603.6583,2952.7942,2085.7,1,255.0,0.0,5226.0,174.0,-142.0,3.97,0.602,-0.258,1.643,0.851,-0.851,0.921,0.101,-0.112,0.0,FALSE POSITIVE
2351,114.73658,165.150671,2454998.151,0.595,0.037,-0.057,12.0355,0.0921,-0.0921,4850.0,22.2,-22.2,0.06617,0.000471,-0.000881,0.38451,0.0544,-0.04242,12.28,1.06,-0.89,0.4572,89.47,476.0,12.13,3.37,-2.43,64.44,9.1,-9.1,0.2472,0.4288,69.59541,196.19203,230.6,4,11.0,0.6295,5597.0,112.0,-101.0,3.963,0.054,-0.045,1.699,0.147,-0.123,0.969,0.084,-0.063,0.0,CONFIRMED
2352,0.9337473,132.4461,2454965.446,0.385,0.093,-0.385,3.446,0.6,-0.6,64.6,7.7,-7.7,0.007434,0.000245,-0.000827,0.18433,0.41631,-0.10212,0.6,0.12,-0.04,0.0174,79.11,1625.0,1652.84,1048.05,-394.65,2.04,0.922,-0.922,0.2865,0.3556,3.4886534,8.739529,9.5,1,1440.0,0.3882,5649.0,169.0,-169.0,4.606,0.036,-0.135,0.741,0.152,-0.054,0.841,0.079,-0.097,0.0,FALSE POSITIVE
2353,10.37168928,172.61729,2455005.617,0.537,0.02,-0.478,3.035,0.0456,-0.0456,1250.0,21.2,-21.2,0.033023,0.00449,-0.00129,2.15323,1.02242,-1.70045,3.2,0.18,-0.28,0.0873,88.66,720.0,63.68,11.53,-13.96,23.0,10.9,-10.9,0.1451,0.582,8.5752535,51.219067,64.5,2,128.0,0.5905,5121.0,76.0,-84.0,4.457,0.091,-0.039,0.888,0.049,-0.077,0.822,0.053,-0.029,0.003,CONFIRMED
2354,8.344104633,361.839209,2455194.839,10.047,49.43,-1.794,1.8014,0.0277,-0.0277,9700.0,130.0,-130.0,9.139057,49.4,-1.79,32.39087,668.42249,-10.2151,836.31,199.0,-79.8,0.0786,78.22,785.0,89.55,66.52,-25.45,49.2,24.2,-24.2,0.2291,0.4603,23.696152,154.93022,89.7,1,104.0,0.893,5447.0,179.0,-179.0,4.559,0.038,-0.162,0.838,0.199,-0.08,0.928,0.083,-0.101,0.0,FALSE POSITIVE
2355,0.93375241,131.5113,2454964.511,0.989,0.153,-0.018,6.352,0.22,-0.22,518.0,12.0,-12.0,0.035786,0.134,-0.00786,0.02625,0.00973,-0.0007,3.18,0.68,-0.22,0.0182,21.91,1594.0,1528.26,1036.31,-378.29,1.066,0.395,-0.395,0.2291,0.4603,4.102883,16.557308,55.5,1,1220.0,0.3799,5402.0,185.0,-185.0,4.581,0.026,-0.145,0.815,0.172,-0.057,0.931,0.064,-0.1,0.0,FALSE POSITIVE
2356,2.189097,132.0841,2454965.084,1.246,6.766,-0.1,5.768,0.645,-0.645,3000.0,282.0,-282.0,0.313969,6.75,-0.0962,0.02117,3.81511,-0.00105,13.92,1.3,-1.41,0.0248,44.59,647.0,41.37,11.35,-10.51,1.75,0.874,-0.874,0.3976,0.3142,5.8086767,28.17266,13.5,1,523.0,0.9192,3624.0,58.0,-72.0,4.848,0.045,-0.036,0.406,0.038,-0.041,0.425,0.036,-0.044,0.0,FALSE POSITIVE
2357,3.951405455,173.276125,2455006.276,1.276,6.027,-0.214,2.1862,0.0267,-0.0267,2450.0,25.2,-25.2,0.331342,5.99,-0.199,0.19337,2.28091,-0.02038,31.44,8.94,-2.96,0.0482,76.4,1133.0,388.71,333.12,-106.59,5.42,2.7,-2.7,0.2965,0.3342,13.511557,110.66481,117.2,1,272.0,0.9756,6046.0,182.0,-182.0,4.539,0.048,-0.204,0.869,0.247,-0.082,0.953,0.107,-0.119,0.706,FALSE POSITIVE
2358,272.5428809,349.7527344,2455182.753,0.287,0.175,-0.178,3.0246,0.109,-0.109,807.0,19.4,-19.4,0.025994,0.0,0.0,79.41125,0.0,0.0,2.35,0.61,-0.2,0.7989,89.98,255.0,1.0,0.76,-0.25,678.106789,2.1,-2.1,0.2711,0.3858,4.935257,7.5996466,5.7,1,3.0,0.7944,5677.0,152.0,-152.0,4.563,0.044,-0.176,0.828,0.216,-0.072,0.92,0.092,-0.112,0.114,FALSE POSITIVE
2359,73.836858,174.0088,2455007.009,0.8,0.074,-0.542,19.722,0.838,-0.838,231.0,20.7,-20.7,0.015625,0.00253,-0.00234,0.02,0.06289,-0.01622,25.09,1.17,-6.64,0.4982,87.44,1143.0,403.37,60.07,-212.02,17.93,8.1,-8.1,0.1257,0.6257,10.509959,13.65705,13.1,1,19.0,0.6624,4769.0,57.0,-154.0,2.583,0.033,-0.027,14.706,0.687,-3.89,3.02,0.152,-1.371,0.068,FALSE POSITIVE
2360,210.899577,230.1954,2455063.195,0.3202,0.1361,-0.3201,2.167,0.428,-0.428,3350.0,477.0,-477.0,0.052646,0.00265,-0.00634,176.37363,525.0343,-87.22264,4.85,1.83,-0.49,0.6493,89.95,268.0,1.22,1.49,-0.35,746.0,370.0,-370.0,0.2157,0.4789,6.2135533,24.499257999999998,7.8,1,164.0,0.4679,5332.0,211.0,-164.0,4.5,0.066,-0.245,0.843,0.319,-0.084,0.821,0.121,-0.07,0.025,FALSE POSITIVE
2361,185.83013,295.002,2455128.002,0.037,0.42,-0.037,10.14,5.2,-5.2,72.6,11.3,-11.3,0.007819,0.00544,-0.000684,1.53429,28.36181,-1.04511,1.01,0.22,-0.17,0.6362,89.98,370.0,4.42,2.78,-1.74,141.0,70.4,-70.4,0.3032,0.3147,4.131339,7.248563,8.1,1,7.0,0.009,6137.0,165.0,-184.0,4.286,0.16,-0.131,1.187,0.25,-0.205,0.993,0.14,-0.115,0.01,FALSE POSITIVE
2362,0.571038347,131.653752,2454964.654,0.876,0.025,-0.652,1.1267,0.0331,-0.0331,242.0,7.5,-7.5,0.017056,0.000456,-0.00286,0.6221,2.87523,-0.22807,1.65,0.08,-0.15,0.0126,66.6,1897.0,3069.59,547.14,-696.13,2.21,1.0,-1.0,0.186,0.5256,4.4578166,40.98029,38.2,1,2340.0,0.9853,5132.0,84.0,-77.0,4.457,0.096,-0.036,0.886,0.045,-0.083,0.82,0.058,-0.031,0.284,CONFIRMED
2363,1.050852976,132.138232,2454965.138,1.111,6.684,-0.127,1.6788,0.0207,-0.0207,41700.0,302.0,-302.0,0.420227,6.58,-0.109,1.46266,31.64369,-0.0433,45.89,0.0,0.0,0.0203,75.38,1791.0,2423.97,0.0,0.0,4.4,2.2,-2.2,0.2622,0.4035,8.749667,33.47528,143.0,1,588.0,0.334,5780.0,157.0,-160.0,4.438,0.071,-0.127,1.0,0.244,-0.111,1.0,0.104,-0.097,0.0,FALSE POSITIVE
2364,7.73590441,137.98785,2454970.988,1.205,6.812,-0.102,4.4389,0.0994,-0.0994,465.0,9.5,-9.5,0.226795,6.71,-0.0972,0.01141,0.38614,-0.00173,21.3,6.54,-1.73,0.0751,68.62,884.0,144.83,126.97,-35.21,3.3,1.6,-1.6,0.2965,0.3342,13.691884,52.450905,59.5,1,176.0,0.9764,5927.0,141.0,-159.0,4.544,0.038,-0.212,0.86,0.264,-0.07,0.944,0.11,-0.121,0.0,FALSE POSITIVE
2365,6.22161107,131.99094,2454964.991,0.838,0.074,-0.634,3.4117,0.0783,-0.0783,165.0,6.4,-6.4,0.013264,0.000116,-0.00154,0.24814,1.05594,-0.11783,1.59,0.27,-0.09,0.0693,83.97,1101.0,348.15,151.24,-52.79,7.98,3.8,-3.8,0.3029,0.3239,4.6385717,24.55109,29.0,1,215.0,0.6253,6277.0,75.0,-75.0,4.417,0.032,-0.12,1.097,0.186,-0.062,1.148,0.08,-0.08,0.001,CONFIRMED
2366,283.72675,392.671,2455225.671,0.3461,0.102,-0.3461,15.49,3.2,-3.2,84.6,16.7,-16.7,0.008566,0.00065,-0.00123,0.54767,1.46383,-0.50567,1.18,0.69,-0.19,0.8865,89.95,341.0,3.2,5.72,-1.2,132.6,59.1,-59.1,0.3105,0.2939,6.2135533,24.499257999999998,9.3,1,164.0,0.4679,6496.0,149.0,-207.0,4.301,0.104,-0.33,1.257,0.747,-0.197,1.153,0.281,-0.155,0.0,FALSE POSITIVE
2367,2.29794819,131.49826,2454964.498,0.108,0.341,-0.108,2.84,0.231,-0.231,83.2,8.0,-8.0,0.008411,0.000457,-0.00048,0.86477,0.05716,-0.46226,0.98,0.29,-0.12,0.0354,89.01,1547.0,1352.14,1150.42,-445.04,6.226,0.412,-0.412,0.3032,0.3147,3.3181992,11.046987,12.2,1,583.0,0.6694,6371.0,169.0,-207.0,4.426,0.065,-0.195,1.072,0.312,-0.134,1.117,0.154,-0.154,0.036,CONFIRMED
2368,4.32744048,132.7835,2454965.783,0.2789,0.1911,-0.2788,4.539,0.329,-0.329,22.0,2.3,-2.3,0.004304,0.000263,-0.00027,0.35466,0.09499,-0.16998,0.58,0.1,-0.08,0.0526,87.66,1254.0,585.32,281.13,-188.06,7.05,1.9,-1.9,0.2763,0.38,2.9341161,7.5820146,8.0,4,277.0,0.4679,5888.0,105.0,-130.0,4.275,0.123,-0.123,1.227,0.214,-0.17,1.036,0.085,-0.075,0.055,FALSE POSITIVE
2369,35.08976902,153.396702,2454986.397,1.264,1.171,-0.16,3.9623,0.0277,-0.0277,5750.0,40.1,-40.1,0.358269,1.16,-0.147,0.58855,0.48024,-0.04733,33.1,8.61,-2.86,0.2055,87.85,501.0,14.95,11.47,-3.91,33.7,13.8,-13.8,0.2327,0.4526,64.85807,247.66399,170.8,1,35.0,0.0,5603.0,152.0,-169.0,4.556,0.031,-0.178,0.846,0.22,-0.073,0.941,0.085,-0.104,0.0,FALSE POSITIVE
2370,1.01884975,132.0857,2454965.086,0.2737,0.2077,-0.2736,3.233,0.459,-0.459,30.9,3.0,-3.0,0.005142,0.000315,-0.000284,0.25581,0.09413,-0.23314,0.47,0.15,-0.04,0.0193,83.65,1754.0,2238.64,2145.25,-527.24,2.412,0.888,-0.888,0.2992,0.3192,9.139475,7.313697,14.8,1,1312.0,0.4679,6068.0,141.0,-173.0,4.568,0.028,-0.028,0.829,0.279,-0.061,0.926,0.086,-0.113,0.0,FALSE POSITIVE
2371,46.7162336,145.5064,2454978.506,0.266,0.205,-0.266,7.259,0.417,-0.417,346.0,26.4,-26.4,0.016994,0.000814,-0.000881,0.97501,0.2087,-0.38933,2.03,0.33,-0.18,0.2588,89.68,531.0,18.74,8.08,-4.01,48.3,10.3,-10.3,0.2555,0.4191,4.731723,12.313621,15.4,1,31.0,0.3724,5856.0,79.0,-79.0,4.386,0.066,-0.123,1.092,0.18,-0.097,1.057,0.07,-0.064,0.363,CONFIRMED
2372,1.4951513,132.66025,2454965.66,0.974,0.007,-0.685,3.43,0.154,-0.154,52.0,4.3,-4.3,0.009063,2.4e-05,-0.00258,0.01941,0.43363,-0.00083,1.44,0.23,-0.32,0.0257,42.38,1870.0,2880.38,1257.57,-1211.7,1.319,0.655,-0.655,0.2638,0.4046,3.5653534,11.614465,14.2,1,898.0,0.5208,5635.0,85.0,-77.0,4.117,0.203,-0.087,1.452,0.237,-0.316,1.008,0.084,-0.076,0.0,CONFIRMED
2373,6.30922043,133.99677,2454966.997,0.118,0.338,-0.118,1.3251,0.0716,-0.0716,691.0,38.2,-38.2,0.023605,0.00129,-0.000736,24.04952,4.26384,-9.60367,1.37,0.1,-0.12,0.054,89.82,606.0,31.73,9.67,-8.46,36.99,6.6,-6.6,0.1554,0.5738,4.4789734,18.726347,22.5,1,208.0,0.5589,4380.0,130.0,-143.0,4.71,0.059,-0.032,0.53,0.041,-0.045,0.524,0.045,-0.034,0.645,CONFIRMED
2374,3.578780566,134.0304187,2454967.03,0.079,0.045,-0.054,2.91089,0.00147,-0.00147,11400.0,7.2,-7.2,0.096067,0.000203,-7.4e-05,1.60801,0.01398,-0.03608,10.43,0.62,-0.62,0.045,89.56,1145.0,406.6,87.15,-74.65,10.2873,0.0894,-0.0894,0.224,0.4695,145.02327,1721.1887,1838.4,1,374.0,0.2268,5524.0,110.0,-110.0,4.421,0.05,-0.045,0.994,0.059,-0.059,0.95,0.058,-0.058,0.0,CONFIRMED
2375,0.974477904,132.370903,2454965.371,1.252,0.051,-0.059,2.69834,0.0035,-0.0035,8850.0,7.0,-7.0,0.377415,0.049,-0.052,0.17041,0.00767,-0.01146,618.37,119.0,-475.0,0.0293,52.24,5205.0,172916.96,99487.91,-165297.77,2.0452,0.0921,-0.0921,0.2151,0.4942,104.786064,1136.3066,801.7,1,1101.0,0.8337,5210.0,136.0,-250.0,2.631,0.824,-0.145,15.004,2.882,-11.529,3.512,0.122,-2.322,0.0,FALSE POSITIVE
2376,12.4244306,141.647,2454974.647,0.98,0.002,-0.685,26.15,1.0,-1.0,214.0,13.9,-13.9,0.018455,5.5e-05,-0.00619,0.00035,0.01101,-7e-05,1.59,0.42,-0.13,0.1003,46.31,714.0,61.31,49.37,-16.52,1.419,0.708,-0.708,0.2865,0.3556,4.214624,11.390727,15.5,1,96.0,0.8342,5761.0,190.0,-190.0,4.581,0.042,-0.168,0.791,0.205,-0.068,0.881,0.096,-0.096,0.0,FALSE POSITIVE
2377,10.08744556,135.13582,2454968.136,0.921,0.003,-0.636,2.9884,0.0713,-0.0713,568.0,16.1,-16.1,0.026351,1.1e-05,-0.00392,0.29911,3.49596,-0.02251,3.15,0.9,-0.38,0.0956,85.49,942.0,186.14,155.73,-60.51,11.72,5.7,-5.7,0.302,0.319,5.5275297,32.66846,39.9,1,130.0,0.4189,6310.0,168.0,-205.0,4.417,0.065,-0.195,1.095,0.313,-0.134,1.143,0.157,-0.157,0.0,CONFIRMED
2378,119.67747,415.4806,2455248.481,1.283,7.044,-0.031,32.274,0.599,-0.599,3250.0,65.3,-65.3,0.347764,7.03,-0.0304,0.00217,0.02423,-0.00016,36.8,11.4,-3.8,0.4832,83.76,379.0,4.9,4.6,-1.53,11.8,5.7,-5.7,0.2889,0.3511,72.543846,76.13904,52.0,1,10.0,0.0227,6075.0,189.0,-232.0,4.486,0.05,-0.2,0.969,0.3,-0.1,1.048,0.139,-0.153,0.474,FALSE POSITIVE
2379,4.70847097,134.153065,2454967.153,0.418,0.031,-0.001,6.0503,0.0179,-0.0179,32600.0,64.7,-64.7,0.168982,0.000579,-0.000154,0.23803,0.02028,-0.00918,19.58,6.01,-2.58,0.0552,86.33,1202.0,493.0,444.95,-168.38,6.534,0.557,-0.557,0.3032,0.3147,193.66692,2089.7664,607.2,1,282.0,0.4724,6214.0,169.0,-206.0,4.391,0.087,-0.203,1.061,0.326,-0.14,1.006,0.158,-0.115,0.0,FALSE POSITIVE
2380,6.56606941,134.49512,2454967.495,0.687,0.217,-0.465,1.8455,0.0706,-0.0706,402.0,17.4,-17.4,0.019524,0.00332,-0.00178,3.77376,5.24563,-2.96387,1.83,0.18,-0.19,0.064,88.08,777.0,86.27,31.92,-24.13,20.49,9.5,-9.5,0.0927,0.6563,5.0383844,19.82915,25.8,2,170.0,0.2933,4818.0,143.0,-129.0,4.481,0.078,-0.585,0.856,0.089,-0.089,0.809,0.047,-0.042,0.041,CONFIRMED
2381,395.23753,186.536,2455019.536,0.629,0.045,-0.459,18.494,0.85,-0.85,1300.0,107.0,-107.0,0.034486,0.00858,-0.00238,0.29159,0.26324,-0.26808,3.17,0.87,-0.3,1.0311,89.73,225.0,0.61,0.5,-0.16,134.0,60.5,-60.5,0.2676,0.3928,6.3067875,7.134018,13.4,2,3.0,0.05,5648.0,169.0,-152.0,4.559,0.034,-0.184,0.841,0.233,-0.078,0.939,0.094,-0.104,0.0,FALSE POSITIVE
2382,35.080928,164.4576,2454997.458,0.712,0.255,-0.498,6.92,1.8,-1.8,101.0,14.9,-14.9,0.009834,0.00399,-0.00119,0.32779,0.15988,-0.27636,1.21,0.21,-0.14,0.2128,88.53,610.0,32.63,15.45,-9.2,27.7,13.5,-13.5,0.2868,0.3588,3.7475874,7.4615316,7.6,2,32.0,0.6191,6007.0,108.0,-133.0,4.353,0.084,-0.126,1.126,0.193,-0.128,1.042,0.086,-0.07,0.442,FALSE POSITIVE
2383,20.5311708,136.4829,2454969.483,0.547,0.387,-0.332,5.67,0.536,-0.536,285.0,34.9,-34.9,0.015823,0.000856,-0.00131,0.59634,0.80566,-0.53658,1.39,0.27,-0.11,0.1417,88.68,568.0,24.52,15.33,-6.05,23.7,10.7,-10.7,0.2327,0.4526,3.7665336,9.805063,9.8,1,124.0,0.3055,5398.0,177.0,-160.0,4.58,0.032,-0.128,0.805,0.157,-0.063,0.902,0.072,-0.108,0.0,FALSE POSITIVE
2384,6.62643441,183.98789,2455016.988,0.111,0.302,-0.111,3.1752,0.0609,-0.0609,815.0,21.7,-21.7,0.025799,0.000709,-0.000495,1.85556,0.05741,-0.63344,2.54,0.31,-0.12,0.0692,89.61,895.0,151.59,49.33,-22.13,16.27,0.503,-0.503,0.224,0.4695,5.7464237,32.735558,40.6,2,194.0,0.0568,5616.0,76.0,-84.0,4.529,0.018,-0.102,0.903,0.109,-0.043,1.006,0.036,-0.078,0.03,CONFIRMED
2385,6.61836309,360.36694,2455193.367,0.043,0.387,-0.043,3.6813,0.0788,-0.0788,549.0,19.2,-19.2,0.0211,0.000735,-0.000478,1.19117,0.03842,-0.4096,2.98,0.49,-0.66,0.0678,89.82,1066.0,304.65,134.51,-128.1,14.024,0.452,-0.452,0.2286,0.4641,5.377145,27.650803,31.5,3,168.0,0.8273,5529.0,83.0,-66.0,4.19,0.186,-0.108,1.294,0.214,-0.285,0.947,0.067,-0.044,0.021,CONFIRMED
2386,10.30698279,143.7331641,2454976.733,0.564,0.003,-0.004,11.4277,0.00381,-0.00381,342000.0,103.0,-103.0,0.611069,0.00139,-0.00266,0.20326,0.00011,-0.00067,81.21,21.8,-21.8,0.0898,86.91,960.0,200.8,158.38,-104.35,10.45087,0.00566,-0.00566,0.2949,0.3354,2805.146,12864.678,3691.9,1,0.0,-1.0,5912.0,160.0,-160.0,4.225,0.258,-0.172,1.217,0.326,-0.326,0.907,0.131,-0.087,0.0,FALSE POSITIVE
2387,1.38718209,132.8579,2454965.858,0.28,0.173,-0.28,2.595,0.849,-0.849,45.5,8.5,-8.5,0.006227,0.000513,-0.000791,0.62783,0.39087,-0.54811,0.68,0.2,-0.08,0.0249,85.99,1707.0,2011.41,1767.49,-655.72,4.0,1.2,-1.2,0.2889,0.3511,3.884717,7.9788203,7.2,1,963.0,0.4531,6122.0,171.0,-214.0,4.471,0.062,-0.2,0.996,0.296,-0.118,1.07,0.133,-0.148,0.029,FALSE POSITIVE
2388,16.3012727,133.79446,2454966.794,0.88,0.044,-0.6,3.974,0.141,-0.141,260.0,15.4,-15.4,0.017701,0.000575,-0.00332,0.29392,1.93873,-0.13803,1.54,0.09,-0.12,0.1186,86.86,557.0,22.73,6.08,-5.29,16.04,7.6,-7.6,0.0989,0.6441,4.1698275,15.581302,19.7,1,81.0,0.3292,4873.0,145.0,-130.0,4.558,0.041,-0.045,0.796,0.049,-0.06,0.836,0.036,-0.067,0.584,CONFIRMED
